ticker,company,industry,datereleased,fourmonthslater,numberofchanges,pricechange
SRCL,Stericycle Inc,Industrials,2/28/12,6/27/12,402,0.033498284
TMK,Torchmark Corp.,Financials,2/28/12,6/27/12,304,0.016578334
VRSK,Verisk Analytics,Industrials,2/28/12,6/27/12,2278,0.146751991
WEC,Wec Energy Group Inc,Utilities,2/28/12,6/27/12,1190,0.168214637
WMB,Williams Cos.,Energy,2/28/12,6/27/12,16875,-0.008538092
WMB,Willis Towers Watson,Financials,2/28/12,6/27/12,16875,-0.008538049
AKAM,Akamai Technologies Inc,Information Technology,2/29/12,6/28/12,10533,-0.154722222
AMT,American Tower Corp A,Real Estate,2/29/12,6/28/12,16767,0.120695417
AMGN,Amgen Inc,Health Care,2/29/12,6/28/12,27492,0.055508113
APA,Apache Corporation,Energy,2/29/12,6/28/12,5496,-0.208864365
CHRW,C. H. Robinson Worldwide,Industrials,2/29/12,6/28/12,2194,-0.139045453
COF,Capital One Financial,Financials,2/29/12,6/28/12,30969,0.057552903
CBG,CBRE Group,Real Estate,2/29/12,6/28/12,10844,-0.140752864
CNP,CenterPoint Energy,Utilities,2/29/12,6/28/12,7857,0.068697166
CHK,Chesapeake Energy,Energy,2/29/12,6/28/12,334872,-0.285669651
DNB,Dun & Bradstreet,Industrials,2/29/12,6/28/12,5806,-0.156506358
EIX,Edison Int'l,Utilities,2/29/12,6/28/12,8667,0.115407886
EXR,Extra Space Storage,Real Estate,2/29/12,6/28/12,1110,0.128518254
FSLR,First Solar Inc,Information Technology,2/29/12,6/28/12,24417,-0.543343639
FLIR,FLIR Systems,Information Technology,2/29/12,6/28/12,1497,-0.2681061
GGP,General Growth Properties Inc.,Real Estate,2/29/12,6/28/12,3222,0.087100665
JPM,JPMorgan Chase & Co.,Financials,2/29/12,6/28/12,23791,-0.079641486
K,Kellogg Co.,Consumer Staples,2/29/12,6/28/12,4446,-0.058070002
LLL,L-3 Communications Holdings,Industrials,2/29/12,6/28/12,7647,0.024362305
LYB,LyondellBasell,Materials,2/29/12,6/28/12,7566,-0.090790075
MRO,Marathon Oil Corp.,Energy,2/29/12,6/28/12,9130,-0.267595865
MHK,Mohawk Industries,Consumer Discretionary,2/29/12,6/28/12,3441,0.053849821
NWL,Newell Brands,Consumer Discretionary,2/29/12,6/28/12,2301,-0.040288041
PBCT,People's United Financial,Financials,2/29/12,6/28/12,4548,-0.077970602
PXD,Pioneer Natural Resources,Energy,2/29/12,6/28/12,11461,-0.23986449
PNC,PNC Financial Services,Financials,2/29/12,6/28/12,27276,0.006179069
PNC,Polo Ralph Lauren Corp.,Consumer Discretionary,2/29/12,6/28/12,27276,0.006179069
PX,Praxair Inc.,Materials,2/29/12,6/28/12,674,-0.02354331
PWR,Quanta Services Inc.,Industrials,2/29/12,6/28/12,8220,0.126315837
SCG,SCANA Corp,Utilities,2/29/12,6/28/12,6410,0.076831607
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,2/29/12,6/28/12,1983,0.243671588
SEE,Sealed Air,Materials,2/29/12,6/28/12,375996,-0.232261072
TDC,Teradata Corp.,Information Technology,2/29/12,6/28/12,4580,0.022238857
TSCO,Tractor Supply Company,Consumer Discretionary,2/29/12,6/28/12,2453,-0.040751406
VFC,V.F. Corp.,Consumer Discretionary,2/29/12,6/28/12,7461,-0.073086273
WYNN,Wynn Resorts Ltd,Consumer Discretionary,2/29/12,6/28/12,9263,-0.135331475
YHOO,Yahoo Inc.,Information Technology,2/29/12,6/28/12,14054,0.041807148
ZION,Zions Bancorp,Financials,2/29/12,6/28/12,5129,1.15E-05
